,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
131,Alien Shooter Vengeance,3.0,13.299999999999999,0.00026431718061674007,22375.0,Shooter,M,PC,CDV Software Entertainment,Sigma Team,,,,,,,,,2007.0
132,Alien Swarm,289.0,1505.0000000000005,0.025462555066079296,22387.0,Shooter,,PC,Valve,Valve Software,8.5,,,,,,,,2010.0
133,Aliens Colonial Marines,22.0,219.2,0.0019383259911894273,4912.0,Shooter,T,PC,Sega,Gearbox Software,,,0.46,,,,,,2013.0
137,All Zombies Must Die!,3.0,13.3,0.00026431718061674007,22432.0,Misc,,PC,Doublesix,Unknown,,,,,,,,,2012.0
140,Alpha Prime,3.0,1.7000000000000002,0.00026431718061674007,20466.0,Shooter,,PC,Meridian4,Black Element,,,,0.0,,0.0,,0.0,2007.0
141,Alpha Protocol,15.0,52.8,0.0013215859030837004,16444.0,Role-Playing,M,PC,Sega,Obsidian Entertainment,,,,0.03,,0.03,,0.01,2010.0
142,Alter World,1.0,0.1,8.81057268722467e-05,11765.0,Platform,,PC,Giorgi Abelashvili,Giorgi Abelashvili,,,0.11,,,,,,2015.0
143,Altitude,13.0,70.9,0.0011453744493392071,22519.0,Action,,PC,Nimbly Games,Nimbly Games,,,,,,,,,2009.0
144,Always Sometimes Monsters,12.0,57.1,0.0010572687224669603,8619.0,Misc,,PC,Devolver Digital,Unknown,,,0.21,,,,,,2014.0
146,Amazing Adventures The Lost Tomb,1.0,3.3,8.81057268722467e-05,20942.0,Puzzle,,PC,PopCap Games,PopCap,,,,0.0,,0.0,,0.0,2007.0
147,Amazing Princess Sarah,1.0,0.8,8.81057268722467e-05,22533.0,Platform,,PC,Haruneko,Haruneko,,,,,,,,,2014.0
148,Amazing World,6.0,11.100000000000001,0.0005286343612334801,22538.0,Adventure,,PC,GANZ,GANZ,,,,,,,,,2014.0
149,America's Army 3,16.0,169.9,0.0014096916299559472,22549.0,Shooter,,PC,U.S. Army,U.S. Army,,,,,,,,,2009.0
153,Amnesia A Machine for Pigs,25.0,110.2,0.0022026431718061676,22582.0,Adventure,,PC,Frictional Games,thechineseroom,,,,,,,,,2013.0
154,Amnesia Memories,2.0,9.8,0.0001762114537444934,22585.0,Adventure,,PC,Idea Factory International,Idea Factory,,,,,,,,,2015.0
155,Amnesia The Dark Descent,113.0,574.2999999999998,0.009955947136563876,22586.0,Action,M,PC,Unknown,Frictional Games,8.7,,,,,,,,2010.0
158,Ampu-Tea,3.0,2.5999999999999996,0.00026431718061674007,8657.0,Misc,,PC,Kiss,Unknown,,,0.21,,,,,,2014.0
160,Anachronox,1.0,0.1,8.81057268722467e-05,21213.0,Role-Playing,,PC,Eidos Interactive,Ion Storm Inc.,,,,0.0,,0.0,,,2001.0
161,Analogue A Hate Story,7.0,22.7,0.0006167400881057269,11830.0,Visual Novel,,PC,Love Conquers All Games,Love Conquers All Games,,,0.11,,,,,,2012.0
164,Ancient Space,1.0,27.0,8.81057268722467e-05,52922.0,Strategy,,PC,Unknown,CreativeForge Games,,,,,,,,,2019.0
165,And Yet It Moves,15.0,19.599999999999994,0.0013215859030837004,6384.0,Platform,E,PC,Broken Rules,TU Wien,8.0,,0.32,,,,,,2009.0
168,Angry Birds Space,1.0,2.7,8.81057268722467e-05,22694.0,Action,,PC,Focus,Rovio Mobile,,,,,,,,,2012.0
169,Angry Video Game Nerd Adventures,10.0,19.7,0.000881057268722467,22709.0,Action,,PC,Screenwave Media,Freakzone Games,,,,,,,,,2013.0
171,Anna - Extended Edition,11.0,39.4,0.0009691629955947136,9853.0,Adventure,,PC,Unknown,Dreampainters,,,0.16,,,,,,2002.0
172,Anna's Quest,2.0,18.5,0.0001762114537444934,52933.0,Adventure,,PC,Daedalic Entertainment,Daedalic Entertainment,,,,,,,,,2015.0
175,Anno 2070,55.0,1618.1,0.004845814977973568,1617.0,Strategy,RP,PC,Ubisoft,Blue Byte Studio,8.7,,,1.4,,1.14,,0.26,2011.0
176,Anno 2205,1.0,22.0,8.81057268722467e-05,8118.0,Strategy,E10,PC,Ubisoft,Blue Byte,,,,0.23,0.04,0.17,,0.02,2015.0
178,Anodyne,3.0,9.2,0.00026431718061674007,11562.0,Action-Adventure,M,PC,Analgesic Productions,Sean Han Tani,,,0.12,,,,,,2013.0
179,Anomaly 2,5.0,7.6,0.0004405286343612335,10434.0,Misc,,PC,11 bit studios,Unknown,,,0.15,,,,,,2013.0
180,Anomaly Korea,1.0,0.9,8.81057268722467e-05,22782.0,Misc,,PC,11 bit studios,Unknown,,,,,,,,,2013.0
